"member","ess_min","stable_share_min","block_exog_max","block_exog_exempt","converged_all","sanity_all","no_lookahead","reproducible"
"small_minn",615.33983074427,0.973333333333333,1.03110753334987e-05,FALSE,TRUE,TRUE,TRUE,TRUE
"small_ss",495.185676765545,0.986666666666667,1.08844179485836e-05,FALSE,TRUE,TRUE,TRUE,TRUE
"small_sv",63.5341086092536,1,0,FALSE,TRUE,TRUE,TRUE,TRUE
"small_loose_p5",660.484466280495,0.863333333333333,1.26473476513061e-05,FALSE,TRUE,TRUE,TRUE,TRUE
"medium_minn",113.604214331159,1,0,FALSE,TRUE,TRUE,TRUE,TRUE
"medium_conj",1000,0.995,0,FALSE,TRUE,TRUE,TRUE,TRUE
"small_tight",1000,0.995,0,FALSE,TRUE,TRUE,TRUE,TRUE
"small_unres",711.090901420961,0.986666666666667,2.071749664529,TRUE,TRUE,TRUE,TRUE,TRUE
"rw",Inf,1,0,FALSE,TRUE,TRUE,TRUE,TRUE
"ar4",Inf,1,0,FALSE,TRUE,TRUE,TRUE,TRUE
"ucsv",16.0202038418538,1,0,FALSE,TRUE,TRUE,TRUE,TRUE
"ucmean",Inf,1,0,FALSE,TRUE,TRUE,TRUE,TRUE
