"member","variable","measure","h","logdens","crps","rmse"
"ar4","cash_rate","q",1,-0.236453755214115,0.160066985393779,0.285297489926576
"ar4","cash_rate","q",10,-2.73002305119373,1.53457924909532,2.31399297204834
"ar4","cash_rate","q",11,-2.85880248351275,1.63699369003322,2.42512272992221
"ar4","cash_rate","q",12,-2.92402248586372,1.72441981884661,2.51521177025792
"ar4","cash_rate","q",2,-0.830909359435506,0.317325286710078,0.584000582062513
"ar4","cash_rate","q",3,-1.22392404953737,0.492169673325393,0.882040124792565
"ar4","cash_rate","q",4,-1.56116358058849,0.674192740662341,1.16955747129501
"ar4","cash_rate","q",5,-1.819672270435,0.845722574293083,1.42565332270654
"ar4","cash_rate","q",6,-2.03929905354089,1.00576041124701,1.65436399866359
"ar4","cash_rate","q",7,-2.22825497316854,1.15011444273332,1.85019572685117
"ar4","cash_rate","q",8,-2.41024104736134,1.28715665308573,2.02476587831521
"ar4","cash_rate","q",9,-2.56669172210256,1.42031381740086,2.18390931861011
"ar4","cpi_inflation","cum",10,-6.96226840795533,2.00824329220479,2.90040234738391
"ar4","cpi_inflation","cum",11,-7.94419666866839,2.24126451741251,3.14914440025745
"ar4","cpi_inflation","cum",12,-8.36914423275091,2.46519116759758,3.38551391805829
"ar4","cpi_inflation","cum",2,-0.755572579484258,0.299386686777741,0.55877710989043
"ar4","cpi_inflation","cum",3,-1.49554952876906,0.484839871789142,0.870185529023707
"ar4","cpi_inflation","cum",4,-2.57189009608854,0.678527188616766,1.18313828906359
"ar4","cpi_inflation","cum",5,-3.12279441133266,0.880403483778465,1.49071088173326
"ar4","cpi_inflation","cum",6,-3.57314153671891,1.09524363209288,1.79041969974216
"ar4","cpi_inflation","cum",7,-4.16028225536551,1.32587851315005,2.08706933768425
"ar4","cpi_inflation","cum",8,-4.83052980611627,1.55386963294036,2.3693626616323
"ar4","cpi_inflation","cum",9,-5.94487576042743,1.7822985919594,2.64311627442432
"ar4","cpi_inflation","q",1,0.0233864627123358,0.142201840486077,0.273775714911205
"ar4","cpi_inflation","q",10,-4.10424171005068,0.23091109480652,0.397741857028481
"ar4","cpi_inflation","q",11,-4.06114629989483,0.235751870498939,0.401932484290749
"ar4","cpi_inflation","q",12,-3.12146581433261,0.239315580811414,0.402641281077796
"ar4","cpi_inflation","q",2,-0.262529483073857,0.17188830353492,0.324100203767087
"ar4","cpi_inflation","q",3,-0.637775748943451,0.184850116646304,0.3482288870194
"ar4","cpi_inflation","q",4,-0.625007043337657,0.197179564099367,0.365993121557038
"ar4","cpi_inflation","q",5,-0.60428708171677,0.201693231333572,0.371109606465753
"ar4","cpi_inflation","q",6,-0.996884668377654,0.210919980579589,0.380383546399367
"ar4","cpi_inflation","q",7,-1.6098559066086,0.217349260309929,0.383916950883309
"ar4","cpi_inflation","q",8,-2.76185645632406,0.221463885813859,0.388092887035236
"ar4","cpi_inflation","q",9,-3.84661187797122,0.226099402147751,0.391622022924674
"ar4","cpi_inflation","ye",1,0.0233864627123357,0.142201840486077,0.273775714911205
"ar4","cpi_inflation","ye",10,-10.3668625746984,0.917928598617815,1.43512355529657
"ar4","cpi_inflation","ye",11,-10.7765553074788,0.938513254636206,1.45267075058138
"ar4","cpi_inflation","ye",12,-11.1062115276738,0.961434824755845,1.46791655599469
"ar4","cpi_inflation","ye",2,-0.755572579484258,0.299386686777741,0.558777109890429
"ar4","cpi_inflation","ye",3,-1.49554952876906,0.484839871789142,0.870185529023707
"ar4","cpi_inflation","ye",4,-2.57189009608854,0.678527188616766,1.18313828906359
"ar4","cpi_inflation","ye",5,-3.33025851471297,0.750977182495893,1.28447774515743
"ar4","cpi_inflation","ye",6,-3.3371320291183,0.799490336085806,1.33854031342592
"ar4","cpi_inflation","ye",7,-3.98443795876622,0.839020508266225,1.37479017571099
"ar4","cpi_inflation","ye",8,-5.86237017861175,0.869353028915479,1.39641414870935
"ar4","cpi_inflation","ye",9,-9.72088162791417,0.895192448275657,1.41852860866763
"ar4","gdp_growth","cum",10,-3.05326131857827,1.65374594731219,2.99816639079661
"ar4","gdp_growth","cum",11,-3.51854557930609,1.71990917705359,3.07348811293209
"ar4","gdp_growth","cum",12,-3.4404217714468,1.77451444814407,3.13816882035042
"ar4","gdp_growth","cum",2,-9.05865434910359,0.728511269996879,1.75333946874426
"ar4","gdp_growth","cum",3,-7.09513140774582,0.892555339199279,1.99464329503365
"ar4","gdp_growth","cum",4,-5.75355029497187,0.975569107387308,2.06791775706579
"ar4","gdp_growth","cum",5,-5.17444925639807,1.08200711700463,2.15959695280706
"ar4","gdp_growth","cum",6,-5.03439623244459,1.28567920004375,2.47322298557312
"ar4","gdp_growth","cum",7,-4.75998302787117,1.39956909536684,2.64629311613008
"ar4","gdp_growth","cum",8,-4.48445318587006,1.48938871521151,2.79394513318989
"ar4","gdp_growth","cum",9,-3.90046337070459,1.57162534442505,2.89992929703128
"ar4","gdp_growth","q",1,-Inf,0.485494233462487,1.28402135687394
"ar4","gdp_growth","q",10,-Inf,0.540641638658585,1.36273992051108
"ar4","gdp_growth","q",11,-18.6620311168674,0.550109042509037,1.38256750473198
"ar4","gdp_growth","q",12,-Inf,0.559443692014007,1.40305700301067
"ar4","gdp_growth","q",2,-Inf,0.485852707055264,1.27853946660628
"ar4","gdp_growth","q",3,-Inf,0.493803850715121,1.29553918305686
"ar4","gdp_growth","q",4,-14.6357155419108,0.503489282712721,1.29075977197575
"ar4","gdp_growth","q",5,-16.5206293582833,0.516609665490228,1.31068628774451
"ar4","gdp_growth","q",6,-13.7651063531336,0.518331491584666,1.3163462722323
"ar4","gdp_growth","q",7,-16.373633187791,0.527289835419694,1.33536078561272
"ar4","gdp_growth","q",8,-16.1064427812963,0.528431708850786,1.33822056158059
"ar4","gdp_growth","q",9,-17.0940311481221,0.534739259158662,1.35025449487031
"ar4","gdp_growth","ye",1,-Inf,0.485494233462487,1.28402135687394
"ar4","gdp_growth","ye",10,-6.43551580970156,1.02907010523013,2.13002620669115
"ar4","gdp_growth","ye",11,-7.43173669097299,1.02789829558957,2.13660699086475
"ar4","gdp_growth","ye",12,-7.57435636750385,1.04878122124815,2.17057373492746
"ar4","gdp_growth","ye",2,-9.05865434910359,0.728511269996879,1.75333946874426
"ar4","gdp_growth","ye",3,-7.09513140774582,0.892555339199279,1.99464329503365
"ar4","gdp_growth","ye",4,-5.75355029497187,0.975569107387308,2.06791775706579
"ar4","gdp_growth","ye",5,-6.38354173315764,0.965132013805122,2.04614069668348
"ar4","gdp_growth","ye",6,-7.31831314128667,0.980963480134431,2.06944398711283
"ar4","gdp_growth","ye",7,-6.95085675793988,0.99572753739353,2.08745847042644
"ar4","gdp_growth","ye",8,-7.02071484919635,1.00904562630366,2.09895663049612
"ar4","gdp_growth","ye",9,-6.03918208708761,1.01823610334874,2.12572032915849
"ar4","unemp_rate","q",1,-2.40843961067505,0.130422577295602,0.300983355568665
"ar4","unemp_rate","q",10,-1.95545800852669,0.563537974007199,0.977760288292427
"ar4","unemp_rate","q",11,-1.80941194400722,0.58272235337828,0.991289973022022
"ar4","unemp_rate","q",12,-1.89255059888226,0.605001557675437,1.00676121956461
"ar4","unemp_rate","q",2,-2.1063270827373,0.225822986859315,0.484302542479287
"ar4","unemp_rate","q",3,-2.09687400377392,0.310147373988973,0.622999412634978
"ar4","unemp_rate","q",4,-1.84456398696188,0.370707343448141,0.716208971254356
"ar4","unemp_rate","q",5,-1.5821618472145,0.413746551676537,0.789693545802587
"ar4","unemp_rate","q",6,-1.57564357324886,0.453648627788962,0.854504403216667
"ar4","unemp_rate","q",7,-2.00885087302011,0.491229344850095,0.911494877168216
"ar4","unemp_rate","q",8,-2.30028771962876,0.520625832597599,0.942634137319709
"ar4","unemp_rate","q",9,-2.25729747301146,0.546133590408685,0.963854575900901
"combo_bma","cash_rate","q",1,-0.112306321893592,0.104699790047465,0.227881671127848
"combo_bma","cash_rate","q",10,-2.3195587009975,1.23846168877274,2.0766402806507
"combo_bma","cash_rate","q",11,-2.41850293137248,1.33721937655564,2.18684372930446
"combo_bma","cash_rate","q",12,-2.51834737453914,1.41737663021324,2.28156580299094
"combo_bma","cash_rate","q",2,-0.80339131293116,0.206973484963265,0.422483601332414
"combo_bma","cash_rate","q",3,-1.26681222411082,0.337426026604841,0.654731031777768
"combo_bma","cash_rate","q",4,-1.43633482190378,0.486928690573199,0.914890536236653
"combo_bma","cash_rate","q",5,-1.55684817555354,0.66344231328628,1.24212419606034
"combo_bma","cash_rate","q",6,-1.75204545648772,0.787429037877324,1.44080437214513
"combo_bma","cash_rate","q",7,-1.95215078854914,0.916850835692007,1.62415823132141
"combo_bma","cash_rate","q",8,-2.06797463978872,1.0208066915764,1.79134892449659
"combo_bma","cash_rate","q",9,-2.20601753088925,1.15669058974167,1.9486299986153
"combo_bma","cpi_inflation","cum",10,-4.27896091651657,1.86619216989168,3.4247985025945
"combo_bma","cpi_inflation","cum",11,-4.41983265597408,2.05825964580786,3.71483300586982
"combo_bma","cpi_inflation","cum",12,-4.52483580409649,2.28090043022954,4.04304482139013
"combo_bma","cpi_inflation","cum",2,-0.751795938865886,0.289886378686619,0.633569033261557
"combo_bma","cpi_inflation","cum",3,-1.49688768754471,0.455499273775993,0.984704053245235
"combo_bma","cpi_inflation","cum",4,-1.92118998750639,0.629485979666472,1.34396407051286
"combo_bma","cpi_inflation","cum",5,-2.8219454349899,0.863469602716962,1.77753205658299
"combo_bma","cpi_inflation","cum",6,-3.23751391107657,1.06563656957617,2.16406618434805
"combo_bma","cpi_inflation","cum",7,-3.378388977603,1.30603054700672,2.58532274566593
"combo_bma","cpi_inflation","cum",8,-3.61270236231456,1.56174953789599,3.01134486008858
"combo_bma","cpi_inflation","cum",9,-3.97705302503501,1.64157822211043,3.07608206153353
"combo_bma","cpi_inflation","q",1,0.0351841698316138,0.14652338041252,0.310346006285155
"combo_bma","cpi_inflation","q",10,-1.67557414711546,0.252505270137157,0.46680167929167
"combo_bma","cpi_inflation","q",11,-1.51703378777844,0.249291050372075,0.457118677207323
"combo_bma","cpi_inflation","q",12,-1.19742711300622,0.252898489099976,0.454306972918791
"combo_bma","cpi_inflation","q",2,-0.289582603842733,0.168986629383308,0.359369008766306
"combo_bma","cpi_inflation","q",3,-0.635677903468049,0.183060371361716,0.384768048925885
"combo_bma","cpi_inflation","q",4,-0.904390956477793,0.199829267798281,0.406985091244149
"combo_bma","cpi_inflation","q",5,-1.18207729645549,0.229243392340872,0.453967971071198
"combo_bma","cpi_inflation","q",6,-1.24680875065847,0.23367951388892,0.462124681738836
"combo_bma","cpi_inflation","q",7,-1.2770958762211,0.256537854610937,0.491078349258737
"combo_bma","cpi_inflation","q",8,-1.33656002024407,0.263609479145343,0.505956468814796
"combo_bma","cpi_inflation","q",9,-1.12654715108949,0.24693829438113,0.465963562316318
"combo_bma","cpi_inflation","ye",1,0.0351841698316138,0.147175679920467,0.310346006285155
"combo_bma","cpi_inflation","ye",10,-3.20634463169762,0.92936779663259,1.74801873890397
"combo_bma","cpi_inflation","ye",11,-2.82751608452746,0.945244732904028,1.74820259753795
"combo_bma","cpi_inflation","ye",12,-2.95165019942588,0.961403964002532,1.74479462698766
"combo_bma","cpi_inflation","ye",2,-0.751795938865886,0.286821094656187,0.633569033261557
"combo_bma","cpi_inflation","ye",3,-1.49688768754471,0.451750076184703,0.984704053245235
"combo_bma","cpi_inflation","ye",4,-1.92118998750639,0.631021946557446,1.34396407051286
"combo_bma","cpi_inflation","ye",5,-2.80092353651519,0.749607868643779,1.54046006658546
"combo_bma","cpi_inflation","ye",6,-3.04975548775443,0.818355291492064,1.63826973430676
"combo_bma","cpi_inflation","ye",7,-2.86194425639674,0.878438154469341,1.73457950488717
"combo_bma","cpi_inflation","ye",8,-3.12564956172101,0.950506098304122,1.82635189610041
"combo_bma","cpi_inflation","ye",9,-3.63836676789413,0.904799896010327,1.70985222095584
"combo_bma","gdp_growth","cum",10,-2.57292236783859,1.51016107207822,2.86710330909164
"combo_bma","gdp_growth","cum",11,-2.65611897859911,1.54085172480662,2.92033782927164
"combo_bma","gdp_growth","cum",12,-2.56529728468819,1.54046180790643,2.92281831086059
"combo_bma","gdp_growth","cum",2,-2.34921439150457,0.705324651720187,1.71692515833952
"combo_bma","gdp_growth","cum",3,-2.11653137409628,0.838060111921787,1.93055780573733
"combo_bma","gdp_growth","cum",4,-2.22374400484633,0.941937267077845,2.01913712813699
"combo_bma","gdp_growth","cum",5,-2.82350211415022,1.05580253647238,2.11934539712549
"combo_bma","gdp_growth","cum",6,-2.89965363298402,1.23414467391206,2.41846739847609
"combo_bma","gdp_growth","cum",7,-2.69789184945837,1.31723022345791,2.58123300133083
"combo_bma","gdp_growth","cum",8,-2.86396663731435,1.40856583176629,2.7279106873103
"combo_bma","gdp_growth","cum",9,-2.70337620097453,1.44072225687364,2.80778516642844
"combo_bma","gdp_growth","q",1,-4.81429042751499,0.465147719641601,1.25521510348867
"combo_bma","gdp_growth","q",10,-2.45762714894507,0.542677738202591,1.36129461439858
"combo_bma","gdp_growth","q",11,-2.36190483998941,0.551581431531181,1.37796301528347
"combo_bma","gdp_growth","q",12,-2.28476375256213,0.554776715751068,1.38731016434254
"combo_bma","gdp_growth","q",2,-3.26702661666249,0.489234799067812,1.27372102974489
"combo_bma","gdp_growth","q",3,-3.43400754254891,0.50162885043185,1.28843879130024
"combo_bma","gdp_growth","q",4,-2.43302039827736,0.511697758728253,1.29574552185711
"combo_bma","gdp_growth","q",5,-2.86646017244087,0.51914840932668,1.30683297141021
"combo_bma","gdp_growth","q",6,-2.50620101909941,0.529378803320589,1.33137799762139
"combo_bma","gdp_growth","q",7,-2.84194523191981,0.534599108473172,1.33437322227812
"combo_bma","gdp_growth","q",8,-1.97314517000598,0.535286493566736,1.3398227392987
"combo_bma","gdp_growth","q",9,-2.40748222982096,0.535277829910543,1.34932059232026
"combo_bma","gdp_growth","ye",1,-4.81429042751499,0.464975448714954,1.25521510348867
"combo_bma","gdp_growth","ye",10,-2.83419972448145,1.00763799586248,2.0936697894356
"combo_bma","gdp_growth","ye",11,-2.94956767761137,0.999564261323988,2.09491188312878
"combo_bma","gdp_growth","ye",12,-2.26657344503346,0.994457849198642,2.09319205593438
"combo_bma","gdp_growth","ye",2,-2.34921439150457,0.704125899059438,1.71692515833952
"combo_bma","gdp_growth","ye",3,-2.11653137409628,0.847791657775222,1.93055780573733
"combo_bma","gdp_growth","ye",4,-2.22374400484633,0.939937872002581,2.01913712813699
"combo_bma","gdp_growth","ye",5,-3.42627587044759,0.974573299355802,2.04435253563445
"combo_bma","gdp_growth","ye",6,-2.97486960784007,0.988429873533789,2.07458771330885
"combo_bma","gdp_growth","ye",7,-3.37251796503824,0.992465113681716,2.09630642560761
"combo_bma","gdp_growth","ye",8,-3.03951737794167,1.013357587028,2.1103653133772
"combo_bma","gdp_growth","ye",9,-2.81441585868379,0.996767550856948,2.11046240000765
"combo_bma","unemp_rate","q",1,-0.586534783724828,0.122309055336181,0.280573661969518
"combo_bma","unemp_rate","q",10,-1.70825469682631,0.621752649613651,1.04411974129503
"combo_bma","unemp_rate","q",11,-1.7348950153989,0.641122762386278,1.05516334614983
"combo_bma","unemp_rate","q",12,-1.75630378969551,0.645654819691228,1.05820316593323
"combo_bma","unemp_rate","q",2,-1.16106214593497,0.222123987313881,0.464956761368677
"combo_bma","unemp_rate","q",3,-1.16561387932436,0.316401177250329,0.629197655669188
"combo_bma","unemp_rate","q",4,-1.11919530166696,0.384932942804681,0.748928342265337
"combo_bma","unemp_rate","q",5,-1.21805499309436,0.457542238774772,0.86663937953278
"combo_bma","unemp_rate","q",6,-1.33262974372031,0.501317534204838,0.933140865093178
"combo_bma","unemp_rate","q",7,-1.4097636791631,0.540500152095036,0.990152334777311
"combo_bma","unemp_rate","q",8,-1.49901579661229,0.572105966238658,1.02885569252286
"combo_bma","unemp_rate","q",9,-1.65780281244668,0.609679885957926,1.0356821939326
"combo_crps","cash_rate","q",1,0.0549230407392957,0.129073409874008,0.268821292890469
"combo_crps","cash_rate","q",10,-2.21422691706845,1.2409876594953,2.12745014847343
"combo_crps","cash_rate","q",11,-2.30120896023298,1.35735565330044,2.27405252327062
"combo_crps","cash_rate","q",12,-2.37197170447824,1.44429587878953,2.40535534368101
"combo_crps","cash_rate","q",2,-0.568058132598343,0.24080057424426,0.483869757261347
