"scheme","variable","bucket","origin","member","weight"
"equal","gdp_growth","near",54,"small_minn",0.0833333333333333
"equal","gdp_growth","near",54,"small_ss",0.0833333333333333
"equal","gdp_growth","near",54,"small_sv",0.0833333333333333
"equal","gdp_growth","near",54,"small_loose_p5",0.0833333333333333
"equal","gdp_growth","near",54,"medium_minn",0.0833333333333333
"equal","gdp_growth","near",54,"medium_conj",0.0833333333333333
"equal","gdp_growth","near",54,"small_tight",0.0833333333333333
"equal","gdp_growth","near",54,"small_unres",0.0833333333333333
"equal","gdp_growth","near",54,"rw",0.0833333333333333
"equal","gdp_growth","near",54,"ar4",0.0833333333333333
"equal","gdp_growth","near",54,"ucsv",0.0833333333333333
"equal","gdp_growth","near",54,"ucmean",0.0833333333333333
"equal","gdp_growth","medium",54,"small_minn",0.0833333333333333
"equal","gdp_growth","medium",54,"small_ss",0.0833333333333333
"equal","gdp_growth","medium",54,"small_sv",0.0833333333333333
"equal","gdp_growth","medium",54,"small_loose_p5",0.0833333333333333
"equal","gdp_growth","medium",54,"medium_minn",0.0833333333333333
"equal","gdp_growth","medium",54,"medium_conj",0.0833333333333333
"equal","gdp_growth","medium",54,"small_tight",0.0833333333333333
"equal","gdp_growth","medium",54,"small_unres",0.0833333333333333
"equal","gdp_growth","medium",54,"rw",0.0833333333333333
"equal","gdp_growth","medium",54,"ar4",0.0833333333333333
"equal","gdp_growth","medium",54,"ucsv",0.0833333333333333
"equal","gdp_growth","medium",54,"ucmean",0.0833333333333333
"equal","gdp_growth","far",54,"small_minn",0.0833333333333333
"equal","gdp_growth","far",54,"small_ss",0.0833333333333333
"equal","gdp_growth","far",54,"small_sv",0.0833333333333333
"equal","gdp_growth","far",54,"small_loose_p5",0.0833333333333333
"equal","gdp_growth","far",54,"medium_minn",0.0833333333333333
"equal","gdp_growth","far",54,"medium_conj",0.0833333333333333
"equal","gdp_growth","far",54,"small_tight",0.0833333333333333
"equal","gdp_growth","far",54,"small_unres",0.0833333333333333
"equal","gdp_growth","far",54,"rw",0.0833333333333333
"equal","gdp_growth","far",54,"ar4",0.0833333333333333
"equal","gdp_growth","far",54,"ucsv",0.0833333333333333
"equal","gdp_growth","far",54,"ucmean",0.0833333333333333
"equal","gdp_growth","near",55,"small_minn",0.0833333333333333
"equal","gdp_growth","near",55,"small_ss",0.0833333333333333
"equal","gdp_growth","near",55,"small_sv",0.0833333333333333
"equal","gdp_growth","near",55,"small_loose_p5",0.0833333333333333
"equal","gdp_growth","near",55,"medium_minn",0.0833333333333333
"equal","gdp_growth","near",55,"medium_conj",0.0833333333333333
"equal","gdp_growth","near",55,"small_tight",0.0833333333333333
"equal","gdp_growth","near",55,"small_unres",0.0833333333333333
"equal","gdp_growth","near",55,"rw",0.0833333333333333
"equal","gdp_growth","near",55,"ar4",0.0833333333333333
"equal","gdp_growth","near",55,"ucsv",0.0833333333333333
"equal","gdp_growth","near",55,"ucmean",0.0833333333333333
"equal","gdp_growth","medium",55,"small_minn",0.0833333333333333
"equal","gdp_growth","medium",55,"small_ss",0.0833333333333333
"equal","gdp_growth","medium",55,"small_sv",0.0833333333333333
"equal","gdp_growth","medium",55,"small_loose_p5",0.0833333333333333
"equal","gdp_growth","medium",55,"medium_minn",0.0833333333333333
"equal","gdp_growth","medium",55,"medium_conj",0.0833333333333333
"equal","gdp_growth","medium",55,"small_tight",0.0833333333333333
"equal","gdp_growth","medium",55,"small_unres",0.0833333333333333
"equal","gdp_growth","medium",55,"rw",0.0833333333333333
"equal","gdp_growth","medium",55,"ar4",0.0833333333333333
"equal","gdp_growth","medium",55,"ucsv",0.0833333333333333
"equal","gdp_growth","medium",55,"ucmean",0.0833333333333333
"equal","gdp_growth","far",55,"small_minn",0.0833333333333333
"equal","gdp_growth","far",55,"small_ss",0.0833333333333333
"equal","gdp_growth","far",55,"small_sv",0.0833333333333333
"equal","gdp_growth","far",55,"small_loose_p5",0.0833333333333333
"equal","gdp_growth","far",55,"medium_minn",0.0833333333333333
"equal","gdp_growth","far",55,"medium_conj",0.0833333333333333
"equal","gdp_growth","far",55,"small_tight",0.0833333333333333
"equal","gdp_growth","far",55,"small_unres",0.0833333333333333
"equal","gdp_growth","far",55,"rw",0.0833333333333333
"equal","gdp_growth","far",55,"ar4",0.0833333333333333
"equal","gdp_growth","far",55,"ucsv",0.0833333333333333
"equal","gdp_growth","far",55,"ucmean",0.0833333333333333
"equal","gdp_growth","near",56,"small_minn",0.0833333333333333
"equal","gdp_growth","near",56,"small_ss",0.0833333333333333
"equal","gdp_growth","near",56,"small_sv",0.0833333333333333
"equal","gdp_growth","near",56,"small_loose_p5",0.0833333333333333
"equal","gdp_growth","near",56,"medium_minn",0.0833333333333333
"equal","gdp_growth","near",56,"medium_conj",0.0833333333333333
"equal","gdp_growth","near",56,"small_tight",0.0833333333333333
"equal","gdp_growth","near",56,"small_unres",0.0833333333333333
"equal","gdp_growth","near",56,"rw",0.0833333333333333
"equal","gdp_growth","near",56,"ar4",0.0833333333333333
"equal","gdp_growth","near",56,"ucsv",0.0833333333333333
"equal","gdp_growth","near",56,"ucmean",0.0833333333333333
"equal","gdp_growth","medium",56,"small_minn",0.0833333333333333
"equal","gdp_growth","medium",56,"small_ss",0.0833333333333333
"equal","gdp_growth","medium",56,"small_sv",0.0833333333333333
"equal","gdp_growth","medium",56,"small_loose_p5",0.0833333333333333
"equal","gdp_growth","medium",56,"medium_minn",0.0833333333333333
"equal","gdp_growth","medium",56,"medium_conj",0.0833333333333333
"equal","gdp_growth","medium",56,"small_tight",0.0833333333333333
"equal","gdp_growth","medium",56,"small_unres",0.0833333333333333
"equal","gdp_growth","medium",56,"rw",0.0833333333333333
"equal","gdp_growth","medium",56,"ar4",0.0833333333333333
"equal","gdp_growth","medium",56,"ucsv",0.0833333333333333
"equal","gdp_growth","medium",56,"ucmean",0.0833333333333333
"equal","gdp_growth","far",56,"small_minn",0.0833333333333333
"equal","gdp_growth","far",56,"small_ss",0.0833333333333333
"equal","gdp_growth","far",56,"small_sv",0.0833333333333333
"equal","gdp_growth","far",56,"small_loose_p5",0.0833333333333333
"equal","gdp_growth","far",56,"medium_minn",0.0833333333333333
"equal","gdp_growth","far",56,"medium_conj",0.0833333333333333
"equal","gdp_growth","far",56,"small_tight",0.0833333333333333
"equal","gdp_growth","far",56,"small_unres",0.0833333333333333
"equal","gdp_growth","far",56,"rw",0.0833333333333333
"equal","gdp_growth","far",56,"ar4",0.0833333333333333
"equal","gdp_growth","far",56,"ucsv",0.0833333333333333
"equal","gdp_growth","far",56,"ucmean",0.0833333333333333
"equal","gdp_growth","near",57,"small_minn",0.0833333333333333
"equal","gdp_growth","near",57,"small_ss",0.0833333333333333
"equal","gdp_growth","near",57,"small_sv",0.0833333333333333
"equal","gdp_growth","near",57,"small_loose_p5",0.0833333333333333
"equal","gdp_growth","near",57,"medium_minn",0.0833333333333333
"equal","gdp_growth","near",57,"medium_conj",0.0833333333333333
"equal","gdp_growth","near",57,"small_tight",0.0833333333333333
"equal","gdp_growth","near",57,"small_unres",0.0833333333333333
"equal","gdp_growth","near",57,"rw",0.0833333333333333
"equal","gdp_growth","near",57,"ar4",0.0833333333333333
"equal","gdp_growth","near",57,"ucsv",0.0833333333333333
"equal","gdp_growth","near",57,"ucmean",0.0833333333333333
"equal","gdp_growth","medium",57,"small_minn",0.0833333333333333
"equal","gdp_growth","medium",57,"small_ss",0.0833333333333333
"equal","gdp_growth","medium",57,"small_sv",0.0833333333333333
"equal","gdp_growth","medium",57,"small_loose_p5",0.0833333333333333
"equal","gdp_growth","medium",57,"medium_minn",0.0833333333333333
"equal","gdp_growth","medium",57,"medium_conj",0.0833333333333333
"equal","gdp_growth","medium",57,"small_tight",0.0833333333333333
"equal","gdp_growth","medium",57,"small_unres",0.0833333333333333
"equal","gdp_growth","medium",57,"rw",0.0833333333333333
"equal","gdp_growth","medium",57,"ar4",0.0833333333333333
"equal","gdp_growth","medium",57,"ucsv",0.0833333333333333
"equal","gdp_growth","medium",57,"ucmean",0.0833333333333333
"equal","gdp_growth","far",57,"small_minn",0.0833333333333333
"equal","gdp_growth","far",57,"small_ss",0.0833333333333333
"equal","gdp_growth","far",57,"small_sv",0.0833333333333333
"equal","gdp_growth","far",57,"small_loose_p5",0.0833333333333333
"equal","gdp_growth","far",57,"medium_minn",0.0833333333333333
"equal","gdp_growth","far",57,"medium_conj",0.0833333333333333
"equal","gdp_growth","far",57,"small_tight",0.0833333333333333
"equal","gdp_growth","far",57,"small_unres",0.0833333333333333
"equal","gdp_growth","far",57,"rw",0.0833333333333333
"equal","gdp_growth","far",57,"ar4",0.0833333333333333
"equal","gdp_growth","far",57,"ucsv",0.0833333333333333
"equal","gdp_growth","far",57,"ucmean",0.0833333333333333
"equal","gdp_growth","near",58,"small_minn",0.0833333333333333
"equal","gdp_growth","near",58,"small_ss",0.0833333333333333
"equal","gdp_growth","near",58,"small_sv",0.0833333333333333
"equal","gdp_growth","near",58,"small_loose_p5",0.0833333333333333
"equal","gdp_growth","near",58,"medium_minn",0.0833333333333333
"equal","gdp_growth","near",58,"medium_conj",0.0833333333333333
"equal","gdp_growth","near",58,"small_tight",0.0833333333333333
"equal","gdp_growth","near",58,"small_unres",0.0833333333333333
"equal","gdp_growth","near",58,"rw",0.0833333333333333
"equal","gdp_growth","near",58,"ar4",0.0833333333333333
"equal","gdp_growth","near",58,"ucsv",0.0833333333333333
"equal","gdp_growth","near",58,"ucmean",0.0833333333333333
