"run","member","window","h","crps","logdens"
"lp","ar4","covid_origins",1,0.629922076738215,-Inf
"none","ar4","covid_origins",1,0.681433185486966,-Inf
"lp","combo_bma","covid_origins",1,0.909162026487479,-7.55956397361306
"none","combo_bma","covid_origins",1,0.918493855112037,-7.64025140442315
"lp","combo_equal","covid_origins",1,0.587956056894806,-5.82410041900003
"none","combo_equal","covid_origins",1,0.58941843484401,-5.8527245152196
"lp","combo_logscore","covid_origins",1,0.753143574246701,-5.97590990513977
"none","combo_logscore","covid_origins",1,0.776102164338662,-6.04545614869818
"lp","combo_pool","covid_origins",1,0.593861114198548,-5.86205440443419
"none","combo_pool","covid_origins",1,0.603154879575915,-5.92562526814326
"lp","medium_conj","covid_origins",1,0.676773416052786,-Inf
"none","medium_conj","covid_origins",1,0.644411424494418,-Inf
"lp","medium_minn","covid_origins",1,0.57825553826237,-14.6677007079236
"none","medium_minn","covid_origins",1,0.57825553826237,-14.6677007079236
"lp","rw","covid_origins",1,0.794633458931224,-Inf
"none","rw","covid_origins",1,0.793398806856594,-16.0152842912748
"lp","small_loose_p5","covid_origins",1,0.598351305194805,-21.5794474014678
"none","small_loose_p5","covid_origins",1,0.606602156081475,-21.655384165428
"lp","small_minn","covid_origins",1,0.615527026734094,-20.3019568127386
"none","small_minn","covid_origins",1,0.608842920275913,-20.1621764578559
"lp","small_ss","covid_origins",1,0.607498112003897,-19.357612488328
"none","small_ss","covid_origins",1,0.61050790538939,-19.4661149914444
"lp","small_sv","covid_origins",1,0.590234559479644,-13.8736969774825
"none","small_sv","covid_origins",1,0.590234559479644,-13.8736969774825
"lp","small_tight","covid_origins",1,0.656613523794327,-Inf
"none","small_tight","covid_origins",1,0.65410692721018,-Inf
"lp","ucmean","covid_origins",1,1.25122284167039,-Inf
"none","ucmean","covid_origins",1,1.27795211137839,-Inf
"lp","ucsv","covid_origins",1,0.69548177891512,-16.3930498887127
"none","ucsv","covid_origins",1,0.69548177891512,-16.3930498887127
"lp","ar4","other_origins",1,0.139269425000215,-0.038943495427441
"none","ar4","other_origins",1,0.145711576882584,-0.0616499112109713
"lp","combo_bma","other_origins",1,0.18977606004925,0.0578329553334776
"none","combo_bma","other_origins",1,0.189746852126413,0.0386544134191277
"lp","combo_equal","other_origins",1,0.123999077187799,0.10416018055335
"none","combo_equal","other_origins",1,0.129359765256434,0.0760372809634415
"lp","combo_logscore","other_origins",1,0.158243678616647,0.0824613061430564
"none","combo_logscore","other_origins",1,0.167597954604037,0.0381247424973955
"lp","combo_pool","other_origins",1,0.119551106921131,0.180926906871916
"none","combo_pool","other_origins",1,0.120029314142169,0.176025495696142
"lp","medium_conj","other_origins",1,0.118397228522889,0.151267302830757
"none","medium_conj","other_origins",1,0.127829643308116,0.106904589058367
"lp","medium_minn","other_origins",1,0.105900452290037,0.292051072666148
"none","medium_minn","other_origins",1,0.105900452290037,0.292051072666148
"lp","rw","other_origins",1,0.1427495615154,-0.0571736119669757
"none","rw","other_origins",1,0.154164373246759,-0.107148482427129
"lp","small_loose_p5","other_origins",1,0.123742081127671,0.131249144630752
"none","small_loose_p5","other_origins",1,0.135277853610783,0.0767516274576415
"lp","small_minn","other_origins",1,0.1159927776259,0.159870898720486
"none","small_minn","other_origins",1,0.124529746545734,0.112826096451682
"lp","small_ss","other_origins",1,0.117014388930499,0.144145689562683
"none","small_ss","other_origins",1,0.127466265387316,0.0804240234622898
"lp","small_sv","other_origins",1,0.1132842826467,0.145726503701457
"none","small_sv","other_origins",1,0.1132842826467,0.145726503701457
"lp","small_tight","other_origins",1,0.1188042969423,0.114697859429603
"none","small_tight","other_origins",1,0.122951255803098,0.0746782100232939
"lp","ucmean","other_origins",1,0.640206866127824,-1.15527762755602
"none","ucmean","other_origins",1,0.641711882823205,-1.18462639345386
"lp","ucsv","other_origins",1,0.120836913998563,0.0771720163997478
"none","ucsv","other_origins",1,0.120836913998563,0.0771720163997478
"lp","ar4","covid_origins",2,0.594562728697758,-3.92730766646262
"none","ar4","covid_origins",2,0.631117602394823,-5.43765055942481
"lp","combo_bma","covid_origins",2,0.864688768030494,-3.32899143020412
"none","combo_bma","covid_origins",2,0.885104669430151,-3.49593193672978
"lp","combo_equal","covid_origins",2,0.565095686531629,-1.61104121578959
"none","combo_equal","covid_origins",2,0.57333463948288,-1.70432802201446
"lp","combo_logscore","covid_origins",2,0.706039526966446,-1.76783877862952
"none","combo_logscore","covid_origins",2,0.7854799241493,-1.94827490141053
"lp","combo_pool","covid_origins",2,0.5766780124249,-1.73358059960224
"none","combo_pool","covid_origins",2,0.593655393704646,-1.83980754216923
"lp","medium_conj","covid_origins",2,0.657803247200068,-6.59007104375285
"none","medium_conj","covid_origins",2,0.634473115464355,-7.09856691032816
"lp","medium_minn","covid_origins",2,0.561908504914171,-3.45773531157809
"none","medium_minn","covid_origins",2,0.561908504914171,-3.45773531157809
"lp","rw","covid_origins",2,0.877279872800028,-10.6942318650306
"none","rw","covid_origins",2,0.89069038353586,-6.73323471924557
"lp","small_loose_p5","covid_origins",2,0.598659505796562,-5.4646729813997
"none","small_loose_p5","covid_origins",2,0.598244725873871,-5.40143206035359
"lp","small_minn","covid_origins",2,0.585558901866035,-5.43939124020776
"none","small_minn","covid_origins",2,0.58808905362847,-5.05152725551265
"lp","small_ss","covid_origins",2,0.586174070287825,-6.15317224392235
"none","small_ss","covid_origins",2,0.582574585878819,-5.86529224422447
"lp","small_sv","covid_origins",2,0.576727589941222,-3.85701296253926
"none","small_sv","covid_origins",2,0.576727589941222,-3.85701296253926
"lp","small_tight","covid_origins",2,0.62422062329824,-7.81028674187837
"none","small_tight","covid_origins",2,0.638798833911195,-8.51428408485285
"lp","ucmean","covid_origins",2,1.08883652961431,-3.74436331873339
"none","ucmean","covid_origins",2,1.12024206833886,-4.43408383155586
"lp","ucsv","covid_origins",2,0.692134899244091,-6.75463092188208
"none","ucsv","covid_origins",2,0.692134899244091,-6.75463092188208
"lp","ar4","other_origins",2,0.277904265832803,-Inf
"none","ar4","other_origins",2,0.28057092355816,-Inf
"lp","combo_bma","other_origins",2,0.300663645045002,-1.83296916429552
"none","combo_bma","other_origins",2,0.300118295475005,-1.83521388787877
"lp","combo_equal","other_origins",2,0.248992100196879,-1.50469903553796
"none","combo_equal","other_origins",2,0.253783001916785,-1.52919667907733
"lp","combo_logscore","other_origins",2,0.275462589537465,-1.53475367004354
"none","combo_logscore","other_origins",2,0.288214544967699,-1.58560370141305
"lp","combo_pool","other_origins",2,0.238090517676742,-1.45994403103856
"none","combo_pool","other_origins",2,0.239210868564862,-1.46437394704821
"lp","medium_conj","other_origins",2,0.237372018658772,-Inf
"none","medium_conj","other_origins",2,0.242842840255939,-Inf
"lp","medium_minn","other_origins",2,0.224753897773879,-Inf
"none","medium_minn","other_origins",2,0.224753897773879,-Inf
"lp","rw","other_origins",2,0.265611501007822,-2.17576833047946
"none","rw","other_origins",2,0.27931795341477,-2.21012178023726
"lp","small_loose_p5","other_origins",2,0.259776062902601,-9.04600804913971
"none","small_loose_p5","other_origins",2,0.267779952637698,-9.09570432146839
"lp","small_minn","other_origins",2,0.242196741312603,-8.45324476920243
"none","small_minn","other_origins",2,0.250548280716679,-8.50309557624418
"lp","small_ss","other_origins",2,0.247976431466819,-7.95992351281028
"none","small_ss","other_origins",2,0.258168186039962,-8.00528276574833
"lp","small_sv","other_origins",2,0.246016480273351,-Inf
"none","small_sv","other_origins",2,0.246016480273351,-Inf
"lp","small_tight","other_origins",2,0.244622745171742,-Inf
"none","small_tight","other_origins",2,0.246920204813446,-Inf
"lp","ucmean","other_origins",2,0.750333564525131,-Inf
